,codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_cidade,coordenadas_cidade,longitude_cidade,latitude_cidade,altitude_cidade,ocorrencia_uf,ocorrencia_estado,regiao,ocorrencia_dia,total_aeronaves_envolvidas,ocorrencia_saida_pista,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total,ocorrencia_fatalidade
0,39115,ACIDENTE,PANE SECA,COMBUSTÍVEL | PANE SECA,CORRENTINA,"-44.641086701211,-13.3417718207863,574.456246",-44.641086701211,-13.3417718207863,574.456246,BA,Bahia,Localizado na Região Nordeste,2010-02-07,1,NÃO,PTNQX,OPERADOR DESCONHECIDO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711A,P28R,PISTÃO,MONOMOTOR,4.0,1979.0,BRASIL,AVIÃO,PARTICULAR,BRIGADEIRO ARARIPE MACEDO,CORRENTINA,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,NÃO
1,40328,ACIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,CORRENTINA,"-44.641086701211,-13.3417718207863,574.456246",-44.641086701211,-13.3417718207863,574.456246,BA,Bahia,Localizado na Região Nordeste,2010-04-15,1,NÃO,PTGRY,OPERADOR DESCONHECIDO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1.0,1978.0,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,AGRÍCOLA,SUBSTANCIAL,0,NÃO
2,41374,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,CORRENTINA,"-44.641086701211,-13.3417718207863,574.456246",-44.641086701211,-13.3417718207863,574.456246,BA,Bahia,Localizado na Região Nordeste,2010-05-26,1,NÃO,PTGUF,OPERADOR DESCONHECIDO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1.0,1980.0,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,AGRÍCOLA,DESTRUÍDA,1,SIM
3,43992,ACIDENTE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,CORRENTINA,"-44.641086701211,-13.3417718207863,574.456246",-44.641086701211,-13.3417718207863,574.456246,BA,Bahia,Localizado na Região Nordeste,2011-03-01,1,NÃO,PTUXX,OPERADOR DESCONHECIDO,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1.0,2009.0,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,NÃO
4,44081,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,CORRENTINA,"-44.641086701211,-13.3417718207863,574.456246",-44.641086701211,-13.3417718207863,574.456246,BA,Bahia,Localizado na Região Nordeste,2011-03-05,1,NÃO,PTUVE,OPERADOR DESCONHECIDO,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1.0,2008.0,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0,NÃO
5,44577,ACIDENTE,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,CORRENTINA,"-44.641086701211,-13.3417718207863,574.456246",-44.641086701211,-13.3417718207863,574.456246,BA,Bahia,Localizado na Região Nordeste,2011-05-24,1,NÃO,PTRGG,OPERADOR DESCONHECIDO,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,6.0,1981.0,BRASIL,AVIÃO,PARTICULAR,SANTA GENOVEVA/GOIÂNIA,ORIÇANGA DE ABREU,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0,NÃO
6,45587,ACIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,CORRENTINA,"-44.641086701211,-13.3417718207863,574.456246",-44.641086701211,-13.3417718207863,574.456246,BA,Bahia,Localizado na Região Nordeste,2012-02-05,1,NÃO,PTUME,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1.0,2000.0,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,AGRÍCOLA,SUBSTANCIAL,0,NÃO
7,51033,INCIDENTE GRAVE,COLISÃO COM FAUNA,COLISÃO COM FAUNA,CORRENTINA,"-44.641086701211,-13.3417718207863,574.456246",-44.641086701211,-13.3417718207863,574.456246,BA,Bahia,Localizado na Região Nordeste,2014-04-30,1,NÃO,PTWPZ,PARTICULAR,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,6.0,1994.0,BRASIL,AVIÃO,PARTICULAR,ABA,CORRENTINA,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0,NÃO
8,77297,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,CORRENTINA,"-44.641086701211,-13.3417718207863,574.456246",-44.641086701211,-13.3417718207863,574.456246,BA,Bahia,Localizado na Região Nordeste,2017-11-26,1,SIM,PPSGO,OPERADOR DESCONHECIDO,AVIÃO,AIR TRACTOR,AT-502B,AT5T,TURBOÉLICE,MONOMOTOR,1.0,2012.0,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,AGRÍCOLA,LEVE,0,NÃO
9,39747,INCIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CAIRU,"-39.0432543550852,-13.4876034009212,17.51928",-39.0432543550852,-13.4876034009212,17.51928,BA,Bahia,Localizado na Região Nordeste,2010-01-31,1,NÃO,PTEHG,TÁXI AÉREO,AVIÃO,EMBRAER,EMB-820C NAVAJO,PA31,PISTÃO,BIMOTOR,10.0,1976.0,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,LEVE,0,NÃO
