,aeronave_fabricante
CESSNA AIRCRAFT,930
NEIVA INDUSTRIA AERONAUTICA,677
EMBRAER,673
PIPER AIRCRAFT,433
BEECH AIRCRAFT,316
FABRICANTE DESCONHECIDO,314
AIRBUS INDUSTRIE,306
BOEING COMPANY,305
AEROSPATIALE AND ALENIA,274
AERO BOERO,205
ROBINSON HELICOPTER,150
SIKORSKY AIRCRAFT,136
HELIBRAS,99
EUROCOPTER FRANCE,89
CIRRUS DESIGN,84
BELL HELICOPTER,72
AIR TRACTOR,63
AGUSTA,59
LEARJET,55
RAYTHEON AIRCRAFT,55
HAWKER BEECHCRAFT,51
FOKKER,42
CIA AERONAUTICA PAULISTA,27
AEROMOT,22
DIAMOND AIRCRAFT,20
FLYER INDUSTRIA AERONAUTICA LTDA,20
PILATUS,19
MITSUBISHI,17
EUROCOPTER DEUTSCHLAND,15
MAULE AIRCRAFT,14
AEROBRAVO LTDA,13
XAVANTE,11
FABRICACAO PROPRIA,10
LET AIRCRAFT INDUSTRIES,10
MCDONNELL DOUGLAS,10
TWIN COMMANDER,10
THRUSH AIRCRAFT,10
CHINCUL SACAIFI,9
DASSAULT AVIATION,9
SOCATA,8
LAVIASA,8
INDÚSTRIA PARANAENSE DE ESTRUTURAS,7
INPAER INDUSTRIA PAULISTA E AERONÁUTICA,6
BRITTEN-NORMAN,6
ISRAEL AIRCRAFT,5
EDRA INDUSTRIA AERONAUTICA LTDA,5
MOONEY AIRCRAFT,5
AIRCRAFT INDUSTRIES,4
TRIKE ICAROS LTDA,4
MIL HELICOPTER,4
ANDRE A.FERDINAND,3
TECNAM CONSTRUZIONI AERONAUTICHE,3
PIAGGIO AERO INDUSTRIES,3
AEROALCOOL TECNOLOGIA LTDA,3
ESC RIB PRET DE PIL VEIC AUTOPROPULSADO,3
AMERICAN CHAMPION,3
ULTRALEGER,3
GULFSTREAM AEROSPACE,3
AIR TRACTOR INC.,2
TEXTRON AVIATION,2
PZL-BIELSKO,2
F.C. OLIVEIRA & CIA LTDA,2
SK,2
MARCO AURELIO M. DE SOUSA,2
AVENOR AUGUSTO MONTANDON,2
MAURICIO WIECHMANN CATAI,2
MARCELO QUEIROZ DUARTE,2
HONDA  AIRCRAFT COMPANY,2
JOSE ANTONIO ZATTAR JR,2
ROGERS THOMAS,2
ORION LTDA,2
LOUIS CRAIG WOODSON HARTMAN,2
NILSON ROBERTO YAMAÃAKE,2
FABIANO COSTA,2
ALBERTO BENEDITO PAULO IRALAH,2
DENNIS E. MOELLMAN,2
TACILLO JACOB FROHLICH,2
MD HELICOPTERS,2
KALIL MOHAMAD AWADA,2
ROCKWELL,2
CHS AMAZONAS IMP E EXP LTDA,2
NORTH AMERICAN,2
GULFSTREAM,2
HENRIQUE DRUMOND LIMA DE OLIVEIRA,2
SCHWEIZER,2
VECTOR ULTRALIGHT INDUSTRIA E COMERCIO,2
JOSE ROBERTO BARBOSA,2
HENRIQUE HAMILTON CERQUEIRA SANTOS,2
PZL-SWIDNIK,2
MELO TRANSPORTES E LOGISTICA LTDA,2
DANILO JOSE BATTISTELLA,2
TERRA AMBIENTAL E INCORPORADORA LTDA,2
AVIONS MUDRY,2
SUZANE MARI PIANA,2
PARADISE INDUSTRIA AERONAUTICA LTDA,2
SCODA AERONÁUTICA,1
AEROBRAVO INDÚSTRIA AERONÁUTICA LTDA,1
QUINTINO ROMAGNA FILHO,1
MONTAER,1
FRANCISCO E.D.,1
EDUARDO LEITO BRUNIALTI,1
HELIO NEGRI FERNANDES,1
NILSON SULZBACH PERES,1
ROBERTO VENICIO LIMA DANTAS,1
AIRBUS,1
KAPPA 77,1
OGLACIR ALVES SPENCE,1
MARIO CARLOS CARDOSO,1
PRISCILA CABRAL FIGUEIREDO,1
ANTONIO CESAR DA SILVA AMARAL,1
CHALLENGER DO BRASIL,1
CARLOS GERALDINO DA SILVA PADILHA,1
EMERSON DE SOUZA PEDRO,1
ROMULO ARAUJO / HUGO FREIRE M JUNIOR,1
FLAVIO GIMENIS FERNANDES,1
GUIMBAL,1
GLOBE AIRCRAFT,1
CARLOS GILBERTO FRAGA MARQUES,1
EXTRA-FLUGZEUGBAU,1
RUBEM ROCHA SANTANA,1
EDRA AERONÁUTICA LTDA,1
TARSO GOROZEVSKI,1
SLICK AIRCRAFT COMPANY,1
DOREEDSON RIBEIRO PEREIRA,1
JOAO BATISTA COUTINHO JUNIOR,1
RUBENS ANTONIO AZEVEDO,1
CLAIBER VIEIRA BORGES,1
MENDES-ADM PARTICIPACOES E EMPREENDIMENTOS LTDA,1
JOSE MAINHARDT,1
KORTH SIMEON R \t,1
HUGHES HELICOPTER,1
FABRICAÇÃO PRÓPRIA,1
ALOIZIO RODRIGUES,1
JAMES F GUZMAN,1
PARADISE INDUSTRIA AERONÁUTICA LTDA.,1
TEXTRON AVIATION INC,1
AUGUSTO LUIZ CAMPOS BARROSO,1
ROBSON DIAS LIMA,1
SPS TRADING IMP. E EXPORTADORA LTDA,1
NORTH LAND,1
SONEX LTDA,1
IBRAEX COMERCIO E IMPORTACAO DE AERONAVES,1
JOÃO ISMAEL VICENTINI,1
SERGIO MAURO,1
ASTRO TOYS COM. DE BRINQ. LTDA,1
ECLIPSE AEROSPACE,1
FLAVIO BUCHALLA,1
IVAN MOLCHAN,1
PETRO JET SALES,1
PZL-OKECIE,1
JOHN SEELY,1
EDSON PIMENTEL MATHEUS,1
MARCOS AURELIO DA SILVA,1
JOAO L TEIXEIRA,1
ANDRE ALEXANDRE FERDINAND DE REYNIER,1
KAIO AMARAL RANGEL,1
ROBERT MOHR,1
FLYER INDÚSTRIA AERONÁUTICA,1
EURIPIDES MOURA FERREIRA FILHO,1
TRIKE ICAROS IND. AER. LTDA.,1
DIEGO CÂMARA MORAIS,1
VINICIUS MARINI FERREIRA,1
LUCIANO LOBAO,1
JOAO LUIZ FAUSTINO,1
CARLOS HENRIQUE FONSECA DE OLIVEIRA,1
GLAUCO ANDRE MACHADO - ME,1
JOAO HENRIQUE SIGNORELLI DRAEGER,1
TOMAS EDSON ANDRADE DA CUNHA,1
PAULO CESAR CASTRO MOURA,1
LABORTEC ENGENHARIA LTDA,1
SAFARI HELICOPTER CO. INTERNATIONAL,1
ANTONINO MOTA,1
CARLOS EDUARDO NASCIMENTO SEVERO,1
HERMANO VIANNA,1
EDUARDO F. H. GONTIJO,1
FOX V5,1
JULIO CESAR MANDELLI,1
QUEST AIRCRAFT,1
GROB,1
RUPERT INDUSTRIA AERONAUTICA,1
POLISAT TRANSPORTE E ARMAZENS GERAIS LTD,1
HAROLDO CARNEIRO LEAO SOBRINHO,1
VERA LUCIA NICIOLI,1
HOTEL CHAMA LTDA ME,1
ANTONIO ETTORE NALLIN,1
JIM DICKINSON,1
JAMAICA EMBALAGEM LTDA,1
AEROCENTRO AERONAVES,1
DANIEL DO PRADO FERREIRA PINTO,1
FRANCISCO BRAGANTE JUNIOR,1
CARLOS ALBERTO VALENTE,1
ISMAEL FERNANDES NUNES JUNIOR,1
PARADISE INDUSTRIA AERONÁUTICA LTDA,1
STINSON AIRCRAFT,1
SHEMPP-HIRTH FLUGZEUBAU,1
PATRICIA VIEIRA DE MELLO,1
AERO COMMANDER,1
AILTON MARTINS DE OLIVEIRA,1
EIRIAVION,1
SEBASTIÃO DE PAULA DO NASCIMENTO,1
CHELBER VICENTINI LILISCHKIES,1
KURT KOFLER,1
EADS AIRBUS,1
AEROTEC,1
GIPPSLAND,1
AEROBRAVO,1
WILLIAM DA SILVA MATIAS,1
HAMILTON SANTIAGO REIS JUNIOR,1
CLINICA MEDICA PRIETO & ANTUNES LTDA.,1
FERNANDO SOARES GURGEL,1
ALLIANCE AIRCRAFT,1
CONSOLIDATED,1
PAULO R. M. MAIA,1
ROGER AGNELLI,1
JOSE CALEIDE,1
ANDERSON BRITO SPINELLI,1
FILIPE LEITE DE AZEVEDO SODRAK,1
EDEVALDO MARTINS FERREIRA,1
RODRIGO DE QUEIROZ R. COSTA,1
MARCELO FERNANDES,1
PARTICULAR,1
MARCO AUGUSTO SCOBOZA GULIN,1
LAKE AIRCRAFT,1
